Restaurants

GO AGAIN!!
Hutong
Gaucho
Mint leaf
Chai Ki
Darbaar
Dishoom 
Roti Chai
Quaglino
Hakkasan
Tarshish
China tang
The iskelé
Stk
HSandCO
Mahiki (Cocktail)
Madison
Coppa Club 
Thai Square
Hiadilao Hot Pot
Jw steakhouse 
Casa do Frango
The meat co
Masala Canteen
Dinerama (shut down :( )
Sticks’n’sushi 
Scarlet Rasoi
Bocconcino
Bright courtyard 
Cat tre 
Kricket
Dim t
Booma
circolo popolare
AOK
Kinkao (Thai)
Cicchetti
Bindi Green (bottomless Brunch)
Aqua Kyoto
Oka restaurant (sushi)
Nabrasa Express
Cardamom Black 
Izgara restaurunt
The Banc - NEED TO GO AGAIN
Chutney Mary
Ayllu
Farzi Cafe 
Vu Lounge
Apothecary
MezeMiso 
Nine
Kibele
Lake Kane
Figo Restaurant 

WANT TO GO 
The colony club
Hawksmoor
Eggbreak -  breakfast & Lunch
The Ivy Asia
Amazonico London
Sheesh Restaurant
"Aubaine (Breakie,Lunch,Dinner)"
Shoryu (Japanese)
Chotto Matte (Japanese )
Taka
Kutir
Coco (halal +views)
Sixbynico
Charco Charco
Yan hi barbecue 
Mestizo 
Gloria
East West (indian+Italian fusion)
1947
Binda’s Eatery
Kricket 
Rudy’s Neopolitan
Crustbro’s
Azura
L’Antica Pizzeria Da Michele (one of the oldest pizzeria’s) 
Mnky hse 

RECOMMENDED 
Lokkum
LPM restaurant & bar
Novikov
sushisamba
ROKA
Restaurant Ours
Madera
Christopher’s 
Benihana International
Sumosan Twiga
Market Hall Victoria (Ox st coming soon)
Gunpowder
Kanishka (Indian)
Pizza union
Kintan
Rawshà
Jinjuu (Korean)
Viet Food 
Kahani
Bob Bob Ricard
Harry’s dolce vita
Cantina Laredo (Mex)
The blues kitchen 
Scarlet Rasoi (indian)
Sexy Fish
Mildred’s (Good veggie food)

CASUAL 
bird restaurant 
Pivaz
Meat and shake (Watford)
The Athenias 
Japanese canteen
Amigos burger and shake
Garfunkel’s
Wing Wing
Mesa kitchen and lounge 
Bone daddies (Japanese)
The diner
Hoppers
The Sauce
Flame Flame
Big easy
Three uncles
Absurd Bird
Wahaca
Franco Manca
Burgeri
Zefi 
Fuwa Fuwa
Cereal killer cafe 
Passo
Siirgista Bros (Halal)
Dintaifung 
Kinkao
One love kitchen (Caribbean)
Chin Chin (Dessert)
Afrikana
Fatt Pundit
The Good Egg
@Pizza (Grand Central Birmingham)
Cocochan (pan Asian)
East Street (little bit tasteless but good vibes lol)
DF Tacos
Coqfighter
Scarpetta
Marugame Udon
Lina Stores
Issho-Ni (bottomless sushi brunch)
Lumi 
Baozilnn

ROOFTOP
Bar Elba (rooftop bar)
Netil 360
Skylark roof garden (plus food)
Bar douro
Coq d’argent
Big chill (normal bar)
12th Knot
Wagtail

RESTAURUNT/SHISHA
Syon Lounge
Wish lounge
The hart lounge
Tigerbay shisha lounge
VU Lounge
Aura lounge 
Mesa Kitchen & Lounge
Al hadra lounge 
Atlantis Lounge 
Envi Lounge
Sumki London 
Shisha Gardens 
Noir
Akoya
Nine
Sapores 
Lokma
Yours London
Azura
